,Name,style,IBU,ABV,Description
793,Confectionator,Bock - Doppelbock,46,13.5,Rum Barrel-aged Dopplebock with Coconut a
799,30th Anniversary Bourbon Barrel-Aged Eisbock,Bock - Eisbock,25,11.16,Bock - Eisbock
803,School of Bock,Bock - Eisbock,30,13.5,"School of Bock is an intensely rich, malty German lager with a smooth, sweet finish and a significant alcohol punch. Munich malt character dominates the flavor and aroma, with minimal hop presence. Read Less"
804,Schnee Boot,Bock - Eisbock,25,13.0,Bock - Eisbock
805,König Eisbock,Bock - Eisbock,39,10.7,Bock - Eisbock
809,Smooth Like Jazz,Bock - Eisbock,10,14.0,Bock - Eisbock
810,Eisbock (Buffalo Trace Barrels),Bock - Eisbock,35,9.1,Bock - Eisbock
822,Otzi Eisbock,Bock - Eisbock,30,9.5,Bock - Eisbock
825,Small Batch Eisbock,Bock - Eisbock,30,8.6,Bock - Eisbock
826,Eis Nine (Small Batch),Bock - Eisbock,28,9.2,Bock - Eisbock
827,Eissturm,Bock - Eisbock,40,9.0,Bock - Eisbock
830,FREEZE RAY EISBOCK,Bock - Eisbock,29,10.24,Bock - Eisbock
831,Fire & Eisbock,Bock - Eisbock,27,10.0,Bock - Eisbock
835,C-Bock,Bock - Eisbock,26,9.5,Dark strong eisbock. In celebration of Anchorage's 100th anniversary. Available for a limited time on draft and gro
838,Rum-Tum-Tumbly,Bock - Eisbock,32,9.6,"This is a strong, full-bodied malty beer brewed in the Bock tradition. The brewery chilled the bright tanks to below freezing for a number days to create an ""icy"" atmosphere prior to cold aging in spiced rum barrels for three weeks. This lager-fermented treat will warm your tummy during the cold winter months. Read Less"
839,Bulldog Bock,Bock - Eisbock,14,4.9,"Copper pour, to"
840,Maibock,Bock - Hell / Maibock / Lentebock,23,6.3,Bock - Hell / Maibock / Lentebock
844,Dead 'N' Dead,Bock - Hell / Maibock / Lentebock,40,7.9,Dead Guy Whiskey barrel-aged Dead Guy Ale. A deep copper maibock-style ale with notes of whisk
845,Maibock,Bock - Hell / Maibock / Lentebock,30,6.3,Bock - Hell / Maibock / Lentebock
846,1516,Bock - Hell / Maibock / Lentebock,22,7.0,Bock - Hell / Maibock / Lentebock
851,Prevernal Love,Bock - Hell / Maibock / Lentebock,22,7.0,Bock - Hell / Maibock / Lentebock
853,Mai-o-maibock,Bock - Hell / Maibock / Lentebock,25,10.0,Amber doppe
854,Updraft Anniversary Maibock,Bock - Hell / Maibock / Lentebock,10,7.7,Bock - Hell / Maibock / Lentebock
857,Goat Destroyer,Bock - Hell / Maibock / Lentebock,26,7.0,Bock - Hell / Maibock / Lentebock
859,Bock Sabbath,Bock - Hell / Maibock / Lentebock,27,6.66,Bock - Hell / Maibock / Lentebock
860,Clovenbock,Bock - Hell / Maibock / Lentebock,25,6.9,Bock - Hell / Maibock / Lentebock
862,Skool House Bock,Bock - Hell / Maibock / Lentebock,25,7.5,Bock - Hell / Maibock / Lentebock
863,Peanut Butter Fudge Puff,Bock - Hell / Maibock / Lentebock,28,7.1,Bock - Hell / Maibock / Lentebock
865,Maibock,Bock - Hell / Maibock / Lentebock,25,7.0,Bock - Hell / Maibock / Lentebock
867,The Maibuck,Bock - Hell / Maibock / Lentebock,28,7.0,Bock - Hell / Maibock / Lentebock
868,Maibock,Bock - Hell / Maibock / Lentebock,30,7.15,Bock - Hell / Maibock / Lentebock
874,Rye In Mai Bock Yard,Bock - Hell / Maibock / Lentebock,26,8.0,"Nice German influence, begins with a wonderful malty aroma with dry flavor notes of carmel, toffee and a hint of nuttin"
876,Rolling Thunder Barrel-Aged XS Dead Guy Ale,Bock - Hell / Maibock / Lentebock,60,9.0,Aged 10 months in Dead Guy Whiskey Barrels crafted at the Rolling Thunder Barrel Works cooperage
877,Cryptic Hymns,Bock - Hell / Maibock / Lentebock,25,6.9,Foudre-A
878,Deliverance From the Other Side,Bock - Hell / Maibock / Lentebock,30,6.9,Bock - Hell / Maibock / Lentebock
879,Maibock Springtime Lagerbier,Bock - Hell / Maibock / Lentebock,12,7.3,Bock - Hell / Maibock / Lentebock
880,Rite of Spring,Bock - Hell / Maibock / Lentebock,20,7.1,"Malty, lightly sweet with a dry finish that makes yo"
881,Town Musicians,Bock - Hell / Maibock / Lentebock,28,6.5,Bock - Hell / Maibock / Lentebock
882,Maibock,Bock - Hell / Maibock / Lentebock,25,7.0,Bock - Hell / Maibock / Lentebock
883,Lenzbock,Bock - Hell / Maibock / Lentebock,35,6.75,Bock - Hell / Maibock / Lentebock
884,Maibock,Bock - Hell / Maibock / Lentebock,32,7.2,Bock - Hell / Maibock / Lentebock
887,Glory Is Goldenbock,Bock - Hell / Maibock / Lentebock,30,6.0,Bock - Hell / Maibock / Lentebock
898,Bow-Chicka-Wow-Wow,Bock - Single / Traditional,23,6.0,Bock - Single / Traditional
902,Poop Your Pants,Bock - Single / Traditional,30,6.0,Bock - Single / Traditional
903,Imperial Poop Your Pants,Bock - Single / Traditional,54,8.0,Bock - Single / Traditional
904,Stagger Bock,Bock - Single / Traditional,21,6.8,Bock - Single / Traditional
907,Seipp's Columbia,Bock - Single / Traditional,25,6.0,Bock - Single / Traditional
911,There And Bock Again,Bock - Single / Traditional,21,6.5,Complex malty richness with some toasted caramel notes. Smooth mouthfeel with a cl
913,Holiday Bock,Bock - Single / Traditional,30,6.1,This beer is brewed for merrymaking. It's 100% barley malt lager with reddish tones from the generous addition of ca
917,Bock Betty,Bock - Single / Traditional,28,5.0,This is our take on a German dark lager. Notes of roasty malt and caramelized sugars come through on this very dri
918,Monopolist,Bock - Single / Traditional,40,6.8,Bock - Single / Traditional
920,Reserve Trippelbock,Bock - Single / Traditional,17,10.0,Bock - Single / Traditional
921,Douze - Bourbon Barrel Bock,Bock - Single / Traditional,24,9.0,Bock - Single / Traditional
922,Baphomet,Bock - Single / Traditional,30,6.66,"Baphomet Bock is a powerful adversary brought forth from traditional German ingredients and a long, cool fermentation time"
923,Frankville Bourbon Bock,Bock - Single / Traditional,28,8.8,"Rich, oaky. Notes of vanilla, caramel, toffee, & coffee. Bock aged in bourbon barrels "
924,Exterior Illumination,Bock - Single / Traditional,22,6.7,Bock - Single / Traditional
926,Pumpkin Pie Cream Ale,Bock - Single / Traditional,13,5.5,Bock - Single / Traditional
929,Krampus Nacht,Bock - Single / Traditional,20,7.0,Bock - Single / Traditional
931,Prince Haakon Honey Bock,Bock - Single / Traditional,21,7.0,Bock - Single / Traditional
932,Bock,Bock - Single / Traditional,25,7.2,"A smooth, easy drinking German lager that emphasizes malty, toasty, rich aromas and flav"
934,Little Bock of Calm,Bock - Single / Traditional,23,6.6,An award winning German-style lager - dark amber in color with a robust and balanced malt profile. Brewed with all imported German mal
936,Battlefield,Bock - Single / Traditional,28,6.5,Bock - Single / Traditional
937,Ammo Bocks,Bock - Single / Traditional,27,6.3,Bock - Single / Traditional
938,Penalty Bocks,Bock - Single / Traditional,22,6.9,Bock - Single / Traditional
942,De Kleine Dood,Bock - Weizenbock,12,12.2,"De Kleine Dood (formerly known as La Petite Mort) is a Belgian inspired Weizenbock brewed as a collaboration between Central Waters and The Local Option in Chicago, IL. This beer maintains the traditional characteristics of its Bavarian fore bearer, with the added complexity of Belgian ale yeast. La Petite Mort is dark amber in color; maintains a rich, full-bodied mouth-feel augmented by caramel; mild and dark fruit. Read Less"
948,The Fat King,Bock - Weizenbock,27,8.7,Bock - Weizenbock
950,Tannhauser Gate,Bock - Weizenbock,31,11.0,Bock - Weizenbock
951,COLOSSAL® IX,Bock - Weizenbock,15,8.0,"To celebrate nine years of brewing we created Colossal® IX in 2020, a German-style Weizenbock – a style fusing characteristics of a wheat and bock beer. Mahogany in color, this malt forward beer boasts a bouquet of ripe banana, clove, and dark fruit capped off with a billowing beige head. The flavor is rich, with a bit of dark fruit, and the finish is creamy and satisfying. Read Less"
958,Word To the Weizenbock,Bock - Weizenbock,21,8.3,Bock - Weizenbock
960,The Fox and the Stork,Bock - Weizenbock,25,7.5,Bock - Weizenbock
962,CaroBock,Bock - Weizenbock,25,8.0,"Bavarian-style strong, dark wheat beer aged with Carob pods and Madagascar va"
963,Doppeldunkelweizenbock,Bock - Weizenbock,25,9.0,Bock - Weizenbock
964,Weizenbock,Bock - Weizenbock,14,7.3,Bock - Weizenbock
967,Alpenglow,Bock - Weizenbock,20,8.5,Bock - Weizenbock
969,Weizenbockenspiel,Bock - Weizenbock,16,9.0,"The style is a Weizenbock (strong wheat bier). The style exhibits big fruity aroma, luxuriously creamy chocolate malted body and a sp"
973,Hammerzeit,Bock - Weizenbock,18,8.0,"Hammerzeit is a strong, malt-forward beer brewed with over 65% wheat. The beer has a complex caramel and m"
981,Gefährliches Ding,Bock - Weizenbock,23,8.0,Bock - Weizenbock
982,Icon Blue (Chocolate Weizenbock),Bock - Weizenbock,24,7.2,"This weizenbock recipe first showed up as our Bishop's Barrel No. 4, but we loved the base beer so much we couldn't leave it at that. Using cocoa nibs from our friends at Tejas Chocolate, this beer has a flavor and aroma that is nothing short of a banana split. Cheers! Read Less"
983,Big Belt (Barrel Aged),Bock - Weizenbock,25,9.0,Bock - Weizenbock
984,Abuelo Loco,Bock - Weizenbock,19,9.0,Bock - Weizenbock
985,La Cabra,Bock - Weizenbock,25,9.3,Bock - Weizenbock
987,War Admiral,Bock - Weizenbock,20,8.2,Strong German Wheat Weizenbock w/banan
992,IV,Bock - Weizendoppelbock,21,8.1,Weizen Doppelbock brewed for the 4th anniversary of WarPigs Brewin
993,Primus,Bock - Weizendoppelbock,10,8.0,Bock - Weizendoppelbock
995,Darker Fields Weizen Doppelbock,Bock - Weizendoppelbock,23,8.7,Bock - Weizendoppelbock
998,Ramstein Winter Wheat,Bock - Weizendoppelbock,25,9.5,Bock - Weizendoppelbock
999,Doppel Weizen,Bock - Weizendoppelbock,34,8.7,Bock - Weizendoppelbock
1001,Hefe Doppel Weizen,Bock - Weizendoppelbock,26,7.0,"“Hefe” means “yeast” in German. “Doppel” means “double.” This is an extra-rich batch of our American Style Wheat Ale. It as been left unfiltered to preserve the robust flavor. 7.0% alcohol by volume.
Read Less"
1003,TNT Weizen Doppelbock,Bock - Weizendoppelbock,20,7.9,"This exceptional limited offering has a hazy black walnut appearance topped with a rocky tan head. The nose has a smoky leather opening with bubblegum and grilled toffee notes. The initial toffee and sweet tea flavors transition to bready malt and wheat through the middle, followed by clove and caramelized banana flavors and a lingering dry finish with assertive tea flavors of smoke and tannin. Read Less"
1004,Five,Brett Beer,14,8.2,"In honor of Surly Brewing’s fifth anniversary we brewed a 100% Brettanomyces fermented brown aged in used red wine barrels. Brettanomyces is a yeast used in place of ""normal"" brewing yeast, it produces a unique flavor profile. Pentagram is a single barrel ""tasting"" of Five. Five (with all barrels blended together) was released during spring 2011 in bottles and kegs. Surly Five has strong flavors of earthy black cherry and raisins with a sour finish. Read Less"
1007,Seizoen Bretta,Brett Beer,35,8.0,Brett Beer
1008,Touch of Brett: Citra (2020),Brett Beer,23,8.1,"This dry French-style saison was primary fermented with a blend of Brettanomyces yeasts, lending tropical fruit and spicy aromas. After aging, it was dry-hopped liberally, adding juicy layers of grapefruit, orange, lychee, and passionfruit. Join us on the journey as the hops and brettanomyces yeast evolve together over time.
Read Less"
1013,Touch of Brett: Mandarina (2018),Brett Beer,23,8.5,"This dry French-style saison was primary fermented with a blend of Brettanomyces yeasts, lending tropical fruit and spicy aromas. After aging, it was dry-hopped liberally with Mandarina Bavaria hops to complement the ripe pineapple, mango, grapefruit, and rose-like flavors that evolved during the aging time. Read Less"
1018,Dormir,Brett Beer,25,5.9,Brett Beer
1021,Brett C.,Brett Beer,35,8.1,Brett Beer
1023,Elder Brett: Saison-Brett Golden Ale,Brett Beer,40,9.0,"Epic Brewing Company's latest barrel-aged beer brings something new—wild yeast. This brew is a collaboration ale with Crooked Stave Artisan Brewing of Fort Collins, Colorado. Chad Yakobson, Brewmaster/Owner of Crooked Stave, is well known for his skill and knowledge in the brewing of sour and Brettanomyces driven beers. The beer was brewed at Epic by the two brewers. Kevin Crompton, Epic's Brewmaster, and Chad spent several weeks working on the recipe and selecting the proper Brett strains and barrels for the beer to morph from a golden Saison into a Saison-Brett Golden Ale. Read Less"
1025,Serenity,Brett Beer,16,5.5,Serenity is Brettanomyces in its most pure form. This tart farmhouse ale is aged in wine barrels for 3 t
1033,Katy,Brett Beer,14,5.4,Foeder-Fermented & Aged American Style Farmhouse Ale with Brettanomyce
1054,Vanilla Coffee Underbrown,Brown Ale - American,30,6.5,Brown Ale - American
1055,Frangelic Mountain Brown,Brown Ale - American,40,9.0,Brown Ale - American
1058,Suavecito 37,Brown Ale - American,18,6.31,"Brown Ale enriched with Toasted Coconut, Palm Sugar and "
1062,Cacao Bender,Brown Ale - American,45,5.5,Brown Ale - American
1066,The Kraken of Don,Brown Ale - American,29,5.5,Brown Ale - American
1071,Cocoa Bolo Coconut Brown,Brown Ale - American,37,5.2,Brown Ale - American
1073,Cubano-style Espresso Brown Ale,Brown Ale - American,25,5.5,Brown Ale - American
1074,Ammunition Horchata Dark Ale,Brown Ale - American,25,4.5,Brown Ale - American
1080,Sleepless City w/ Vanilla & Cocoa Nibs,Brown Ale - American,34,5.7,Brown Ale - American
1083,Vanilliamston Brown Ale,Brown Ale - American,23,8.4,Brown ale with a LOT 
1084,Filbert Brown,Brown Ale - American,23,4.9,An American Brown Ale embellished with a roasted hazelnut character and bittered using US Perle hops. A wide array of specialty malts commingles to create a complex finish. Read Less
1086,Ozo Coffee Brown Ale,Brown Ale - American,45,6.7,Brown Ale - American
1091,Coconut Biscotti Coffee Ale,Brown Ale - American,33,7.0,Oak Cliff Coffee Ale with Biscotti a
1092,Grog - 2017 Brown Sugar Imperial Ale,Brown Ale - American,33,11.4,"Loaded with unique, robust flavors, this Brown Sugar Imperial Ale was handcrafted and aged in Caribbean rum barrels for twelve months. Hints of Molasses, rum, tobacco, and coconut round this dark nectar into a delicious, drinkable Imperial Ale that pairs well with plundering, pillaging and pretty much anything else pirates are known for. Cheers! Read Less"
1103,Turkey Drool,Brown Ale - American,19,7.9,Brown Ale - American
1104,Scotch Barrel Aged Imperial Brown,Brown Ale - Belgian,45,12.3,Brown Ale - Belgian
1108,Bean Counter,Brown Ale - Belgian,32,7.8,Brown Ale - Belgian
1109,Splinter Brown,Brown Ale - Belgian,15,8.4,Brown Ale - Belgian
1118,Bourbon Barrel Aged Brune - Vol. 4,Brown Ale - Belgian,24,6.3,Bourbon Barrel Aged Brugge
1120,Brandy Barrel Aged Grizz,Brown Ale - Belgian,33,9.5,Brown Ale - Belgian
1122,Barrel Maple Ale,Brown Ale - Belgian,11,9.0,Brown Ale - Belgian
1124,Caramel Dream Woodbooger Belgian Brown Ale,Brown Ale - Belgian,20,6.0,Brown Ale - Belgian
1129,Sherry & Sauternes Grizz,Brown Ale - Belgian,33,9.5,Brown Ale - Belgian
1130,401(Cake),Brown Ale - Belgian,26,8.0,Brown Ale - Belgian
1135,Belgian Tickler AKA #dontfuckinworryaboutit,Brown Ale - Belgian,11,6.1,"Dark, nutty Belgian Brown brewed with College Street Brewi"
1136,Build A Beer (Big Red Collaboration),Brown Ale - Belgian,36,8.0,Brown Ale - Belgian
1138,The Grizz™,Brown Ale - Belgian,33,9.5,"Don't be fooled by this innocent beast. Handcrafted by the Bear Republic Brewing Team, this Belgian Brown incorporates a trifecta of sugars including our house made candi syrup. Wild and untamed, this full bodied beer starts out sweet and finished with notes of cloves and nutmeg. Enjoy in moderation and tread lightly! Read Less"
1141,Conflagration,Brown Ale - Belgian,31,6.7,Brown ale with Coffee and coconut. 95% NY 
1142,Linus And Lucy,Brown Ale - Belgian,76,8.9,Dark chocolate with apple esters and a roa
1144,Pernicieux,Brown Ale - Belgian,45,8.5,Brown Ale - Belgian
1145,Belgian-Style Brown With Raspberries,Brown Ale - Belgian,19,5.4,Brown Ale - Belgian
1147,Manneken Pis,Brown Ale - Belgian,22,5.3,A true to style Belgian Ale with Weyerman Malt and caramel
1148,Brown Recluse,Brown Ale - Belgian,35,5.9,Brown Ale - Belgian
1149,Six Suits A Hangin',Brown Ale - Belgian,24,8.5,Brown Ale - Belgian
1150,Belgian Maple Brown Ale,Brown Ale - Belgian,23,4.2,Brown Ale - Belgian
1152,Sacre Bruin!,Brown Ale - Belgian,18,7.1,Belgian-style brown ale conditioned on el
1155,Vanilla Maduro,Brown Ale - English,25,5.5,Brown Ale - English
1156,Downtown (Hazelnut) Brown,Brown Ale - English,15,5.5,"Chocolatey, roasty with a not-so-subtle hint "
1158,Bull's English Brown Coffee,Brown Ale - English,25,5.5,Brown Ale - English
1159,Chocolate Chip Pancake Brown Ale,Brown Ale - English,25,5.5,Brown Ale - English
1160,Homebrew Grown,Brown Ale - English,31,6.3,Brown Ale - English
1161,Beoir Le Caife,Brown Ale - English,22,5.5,Brown Ale - English
1163,Flavor 32,Brown Ale - English,32,6.3,Butter pecan brown ale. English brown style with pecan and but
1164,Imperial Coffee Brown,Brown Ale - English,15,9.0,Brown Ale - English
1165,French Toast Brown Ale,Brown Ale - English,25,5.5,Brown Ale - English
1168,Blueberry Muffin Brown Ale,Brown Ale - English,25,5.5,Brown Ale - English
1169,Blueberry Pancake,Brown Ale - English,25,5.5,Brown Ale - English
1171,Whiskey Barrel Aged (Brewer's Select),Brown Ale - English,38,9.0,Strong English brown ale aged in whis
1178,Cuban Coffee Crisis,Brown Ale - English,35,6.5,Brown Ale - English
1179,Autumnus,Brown Ale - English,45,8.0,Brown Ale - English
1180,Night Moves,Brown Ale - English,24,5.0,English Brown Porter conditioned on Owly Blend coffee and van
1182,CastagnAle Zymatore Barrel Aged Grenache / Petit Verdot,Brown Ale - English,22,4.1,Birra del Borgo's Castagnale aged in Grenache and Petit Verdot red wi
1184,Bourbon Barrel Aged Brown Ale,Brown Ale - English,33,7.1,Brown Ale - English
1185,Coffee Hop'd,Brown Ale - English,35,7.0,Brown Ale - English
1186,Cinnamon Roll Bear,Brown Ale - English,24,8.2,Brown Ale - English
1188,Super Trooper,Brown Ale - English,12,7.3,Brewed with Columbian coffee beans and donuts from a loca
1189,Bennie Brown,Brown Ale - English,30,5.9,Brown Ale - English
1191,Oatmeal Raisin Cookie,Brown Ale - English,25,5.5,Brown Ale - English
1192,Feely B,Brown Ale - English,18,6.0,Hazelnut
1193,Northern English Brown,Brown Ale - English,42,5.1,Brown Ale - English
1194,Zaner's Old Geezer Pecan Ale,Brown Ale - English,20,4.7,Brown Ale - English
1195,Decadent Dark Chocolate Ale,Brown Ale - English,11,5.0,Brown Ale - English
1196,Bank Down Vanilla Brown,Brown Ale - English,17,6.0,Brown Ale - English
1199,Spitfire Ale With Maple Pecan,Brown Ale - English,19,4.8,Brown Ale - English
1202,REVved UP Coffee Brown,Brown Ale - English,25,5.5,English brown ale with Dark Matter co
1203,Forage,Brown Ale - English,20,4.7,Brown Ale - English
1205,The Chorus of Chaos,Brown Ale - Imperial / Double,25,11.0,Brown Ale - Imperial / Double
1208,Los Leñadores (2019),Brown Ale - Imperial / Double,35,11.6,"Firestone Walker Brewing has collaborated with Cigar City Brewing on Los Leñadores, an imperial brown ale aged in high rye bourbon barrels and infused with African and Brazilian hardwood spirals.

The featured hardwoods are African Padauk and Brazilian Amburana, sourced and created specifically for Los Leñadores by Richard Hobbs of The Barrel Mill in Avon, Minnesota. The Padauk provides notes of waffle cone and chocolate to the beer, while the Amburana layers in accents of cinnamon spice and vanilla. The base imperial brown ale was aged for nearly 12 months in high rye bourbon barrels acquired from Four Roses. An initial twist was the inclusion of Proximity malt in tandem with Simpson Golden Promise malt and Simpson Golden Naked oats. Read Less"
1210,Double Barrel Bolita,Brown Ale - Imperial / Double,50,12.3,Brown Ale - Imperial / Double
1215,Triple Digit Series: Barrel Aged Chickow!,Brown Ale - Imperial / Double,30,12.0,Heaven Hill 
1221,Bravo,Brown Ale - Imperial / Double,28,13.2,"Our Imperial Brown Ale aged in retired American oak bourbon barrels. Bravo was the first strong ale brewed for our Anniversary Ale blending program over ten years ago. Balancing rich toasty and chocolate malt flavors with a gentle balance of noble hops, Bravo is brewed to showcase barrel flavors with massive bourbon barrel notes that morph as the beer warms in the glass. Read Less"
1222,Bourbon Barrel-Aged French Toast,Brown Ale - Imperial / Double,35,9.0,Brown Ale - Imperial / Double
1225,Barrel Aged Imperial Dissonance,Brown Ale - Imperial / Double,30,13.0,Brown Ale - Imperial / Double
1227,The Ballad of Chaos,Brown Ale - Imperial / Double,22,8.8,Brown Ale - Imperial / Double
1228,110K+OT Batch #9,Brown Ale - Imperial / Double,59,9.8,Brown Ale - Imperial / Double
1233,Ante Meridiem - Blend No. 1 - 2018,Brown Ale - Imperial / Double,45,13.5,Brown Ale - Imperial / Double
1234,French Toast,Brown Ale - Imperial / Double,35,8.8,Brown Ale - Imperial / Double
1235,Ante Meridiem - Blend No. 3 - 2019,Brown Ale - Imperial / Double,45,13.5,Brown Ale - Imperial / Double
1240,Bourbon Barrel-Aged Save Some Room For Later,Brown Ale - Imperial / Double,40,10.5,Brown Ale - Imperial / Double
1244,Big Griz,Brown Ale - Imperial / Double,28,12.5,Brown Ale - Imperial / Double
1245,Be Whatever You Shall Manifest,Brown Ale - Imperial / Double,25,10.0,Brown Ale - Imperial / Double
1246,Chickow! Turtle,Brown Ale - Imperial / Double,28,10.0,"Double Brown Ale Brewed w/ Hazelnut, Caramel, Chocolate a"
1247,Apple Brandy Barrel-Aged Muy Bonita,Brown Ale - Imperial / Double,30,9.0,Brown Ale - Imperial / Double
1248,Bourbon Barrel Aged Imperial Three Blind Mice,Brown Ale - Imperial / Double,38,10.5,Brown Ale - Imperial / Double
1249,Alternate Takes #7,Brown Ale - Imperial / Double,50,13.0,Brown Ale - Imperial / Double
1250,Plaid Habit (2019),Brown Ale - Imperial / Double,13,12.5,"Born a double-mashed imperial brown ale, then matured for 13 months in freshly emptied 10-year Canadian rye whisky barrels, this sturdy ale features checkered notes of rich vanilla, charred oak, warming whisky and spicy rye. With a lingering, boozy sweetness and round, resonant flavor, Plaid Habit clearly earns its name. Read Less"
1254,Breakfast Ante Meridiem,Brown Ale - Other,45,13.5,Brown Ale - Other
1255,For Now We Are Laid To Rest,Brown Ale - Other,35,12.0,Brown Ale - Other
1256,MoJo Workin',Brown Ale - Other,32,6.0,Brown Ale - Other
1258,Trip in the Woods: Ovila Abbey Ale,Brown Ale - Other,40,11.4,Brown Ale - Other
1259,Wake And Bake Crunchy Hippie,Brown Ale - Other,40,6.2,Crunchy hippie with coffee and 
1262,Coffee Impale'd Ale,Brown Ale - Other,28,10.0,Brown Ale - Other
1263,Dissonance Brown Ale,Brown Ale - Other,30,6.5,Brown Ale - Other
1264,Fugee,Brown Ale - Other,15,6.4,Brown Ale - Other
1265,2021 Esther's Li'l Secret Chocolate Almond Bark Brown Ale,Brown Ale - Other,34,8.0,Brown Ale - Other
1266,Oso Cafe,Brown Ale - Other,15,5.6,"Coffee brown ale. Hazelnut, R"
1267,Mexican Chocolate,Brown Ale - Other,16,5.5,Brown Ale - Other
1268,Killer Brownie,Brown Ale - Other,29,6.5,Brown Ale - Other
1271,House Blend,Brown Ale - Other,19,6.1,Brown Ale - Other
1272,Peanut Butter Jelly Time: Strawberry-Rhubarb (2019),Brown Ale - Other,10,5.7,"PBJT Small Batch Specialty Variant for 2019: Strawberry-Rhubarb.

The legendary “PB&J sandwich in a glass,” Peanut Butter Jelly Time starts as a light brown ale with a touch of wheat in its malt bill, providing the bready base for the star ingredients – real fruit and whole roasted North Carolina peanuts. Read Less"
1277,Verklempt Coffee Brown,Brown Ale - Other,20,5.8,Brown Ale - Other
1278,Bastogne Brown,Brown Ale - Other,24,5.64,"Named after 1st Brigade Combat Team out of Ft Campbell, KY this pecan nut brown is our tribute to them and their hist"
1279,Cubano Coffee Brown,Brown Ale - Other,28,6.7,"American Brown ale with lactose, turbinado sugar and Three Bears cold b"
1282,Saturday Nut Fever,Brown Ale - Other,25,5.3,Peanut Butte
1284,Fantasy Island,Brown Ale - Other,20,6.0,Brown Ale - Other
1285,Breakfast Cartel,Brown Ale - Other,25,7.5,"Imperial Brown Ale brewed with many roasted & toasted malts, flaked oats, coffee, chocolate, m"
1288,Bully Brew,Brown Ale - Other,22,5.25,Brown Ale - Other
1290,Two Scoops,Brown Ale - Other,18,5.7,Brown Ale - Other
1291,The General's Select Barrel Aged 7.62 Imperial Brown Ale,Brown Ale - Other,24,7.6,An Imperial Brown Ale with added toasted coconut aged in Richland R
1293,Omne Trium Perfectum,Brown Ale - Other,29,8.0,Brown Ale - Other
1296,Brunch Master,Brown Ale - Other,6,10.0,Brown Ale - Other
1298,Neopolitan Brown Ale,Brown Ale - Other,24,5.0,"Doberman brown ale treated with Chocolate, Vanilla, and Strawber"
1299,Kindred,Brown Ale - Other,10,9.0,Brown Ale - Other
1303,Nuts To Butter,Brown Ale - Other,19,6.2,Peanut butter chocolate brown ale. Over 1/2 pound of peanut butter per gal
1305,Burton-On-Holt,Burton Ale,42,6.0,Burton Ale
1312,Feist Meister,Burton Ale,15,5.2,Holiday ale made with toasted oats and winter war
1313,Viking Slayer,Burton Ale,33,7.3,Burton Ale
1314,Sassenach Burton Ale,Burton Ale,40,6.0,Burton Ale
1315,Burton On Trinity XX,Burton Ale,70,10.0,Burton Ale
1316,King's Dish,Burton Ale,55,6.8,Burton Ale
1317,Burton Strong,Burton Ale,31,5.2,Brewed with Bu
1318,Wasky,Burton Ale,79,6.6,Burton Ale
1320,Infidelity,Burton Ale,90,7.2,"Infidelity. Our proper Burton ale traditionally fit in somewhere between a strong Mild and a British Bitter. Always big, dark, and hoppy as hell. Herbal hops, spicy endive, cedar, hints of grapefruit and sweet lady fingers flow into a rippingly tannic, crisp finish. A nourishing British, hop-centric, cracking pint for all you 'op 'eads from days gone by. Gone for a Burton? Good on you! Read Less"
1321,Oi! Burton Ale,Burton Ale,146,7.1,Burton Ale
1323,Ballantine Burton Ale,Burton Ale,75,11.3,Burton Ale
1325,Sensible Mole,Burton Ale,102,6.5,Burton Ale
1326,Burton,Burton Ale,27,5.8,Burton Ale
1327,Danker's Team,California Common,53,6.4,California Common
1328,Mexican Candy,California Common,24,5.2,California Common with jalapenos and s
1338,Nautilus,California Common,35,5.0,California Common
1348,Common Bastard,California Common,42,5.5,"Our take on the American West Coast Gold Rush era original. A copper-colored beer that is toasty, caramel, and slightly fruity on the malt side - rustic, woodsy, and minty on the hops with firm bitterness but excellent balance for superb drinkability. Read Less"
1349,Cosmic Cali,California Common,40,6.0,"Our California common dry hopped with Galaxy hops giving this beer a bright tropical fruit note and a smooth, si"
1354,The A-Steam,California Common,39,5.3,California Common
1356,Ittie Biggie,California Common,29,6.3,"Kentucky Common style. Sweet corn hybrid ale, lager. Silky"
1362,Atlas Steam,California Common,30,5.3,California Common
1364,Coffee Common,California Common,20,5.1,DC w/Zeke's coffee and
1365,Claim Stake Common,California Common,35,5.0,"A tribute to the California Common style that originated in the late-1800’s Gold Rush era, our version stakes its claim by bringing old and new techniques together for a bold, yet balanced beer. After three days of open fermentation, we dry-hop this warm-fermented lager with fresh whole-cone hops in a closed tank to maximize the hop aromas. The result is a copper hued beer with toasty malt notes and delightful hop character from the use of Bravo, Northern Brewer, Cascade, Centennial, and Sterling. Read Less"
1366,Steampunk Ale,California Common,33,4.8,"Smooth drinking amber colored ale brewed with lager yeast. Bay Area inspired, High Plai"
